"","�Age","Gender","HasKids","EduLvl","WorkStatus","AnnualIncome","Occupation","YrsJobHeld","MosJobHeld","CommunitySz","CntryOfRes","MaritalStat","NumSons","NumDaughters","DP1","DP2","DP3","DP4","DP5","DPMean","AIP1","AIP2","AIP3","AIP4","AIP5","AIP6","AIP7","AIP8","AIP9","AIP10","AIP11","AIP12","AIP13","AIP14","AIP15","AIPMean","GP1","GP2","GP3","GP4","GP5","GP6","GP7","GP8","GP9","GP10","GP11","GP12","GP13","GP14","GP15","GP16","GP17","GP18","GP19","GP20","GPMean","SWLS1","SWLS2","SWLS3","SWLS4","SWLS5","SWLSMean","OthersLabel","DPMean.1"
"1",67.5,"Male","1","ma","retired",25000,"","9",0,"Large-City","El Salvador","Divorced","0",5,3,1,1,1,1,1.4,1,1,1,1,1,1,1,1,5,1,1,1,1,1,3,1.4,1,1,1,1,1,1,1,1,1,1,5,1,1,1,1,1,1,5,1,5,1.6,5,5,5,5,5,5,"no",1.4
"2",45,"Male","1","deg","part-time",35000,"","0",0,"Village","Bolivia","Married","1",1,3,4,3,3,3,3.2,3,1,4,3,3,4,3,3,3,3,4,2,2,2,4,2.93,4,2,2,2,2,2,4,2,4,2,3,4,2,2,3,4,3,3,4,4,2.9,3,4,4,4,3,3.6,"yes",3.2
"3",19,"Female","0","dip","student",NA,"","0",0,"Large Town","Cyprus","Single","0",0,5,5,2,3,3,3.6,5,4,4,5,5,5,5,4,5,5,4,3,5,4,3,4.4,5,2,2,4,3,1,3,2,5,4,5,5,3,4,5,2,3,5,5,4,3.6,2,2,2,3,4,2.6,"yes",3.6
"4",37.5,"Male","1","ma","full-time",45000,"","14",0,"Large Town","Czech Republic","Married","0",1,3,3,3,3,3,3,2,1,4,3,5,3,4,5,4,5,4,3,4,2,1,3.33,4,1,3,3,2,3,4,5,4,1,3,4,3,3,4,4,3,4,5,1,3.2,2,4,2,2,2,2.4,"yes",3
"5",28,"Female","0","deg","full-time",35000,"","1",0,"Village","Czech Republic","Single","0",0,3,3,2,1,1,2,1,1,3,3,2,2,2,2,1,1,2,1,2,1,2,1.73,4,1,2,4,5,2,4,2,4,1,2,3,2,4,3,2,3,2,3,4,2.85,4,4,4,3,4,3.8,"no",2
"6",23,"Female","0","deg","full-time",15000,"","1",0,"Small Town","Czech Republic","Single","0",0,3,4,3,2,2,2.8,2,5,5,5,5,3,5,4,4,5,3,5,4,5,5,4.33,5,5,2,5,4,4,5,4,4,3,4,4,3,4,4,4,4,4,4,4,4,3,2,4,4,3,3.2,"yes",2.8
"7",67.5,"Female","0","ma","part-time",NA,"","8",0,"Large Town","Morocco","Divorced","0",0,3,4,3,2,2,2.8,3,1,1,2,3,3,1,4,5,5,3,2,3,1,4,2.73,4,1,1,1,1,2,3,2,4,1,4,2,3,2,4,3,1,4,4,2,2.45,3,4,3,3,2,3,"yes",2.8
"8",37.5,"Male","0","grade","part-time",10000,"",NA,0,"Village","Ukraine","Single","0",0,4,3,4,4,3,3.6,4,4,4,4,4,2,5,2,4,3,2,4,3,4,5,3.6,5,1,3,4,3,3,4,3,4,4,3,5,2,2,4,4,3,4,4,4,3.45,3,3,3,2,3,2.8,"yes",3.6
"9",24,"Female","0","ma","full-time",250000,"","2",0,"Village","Ukraine","Single","0",0,2,2,4,4,4,3.2,3,3,3,4,4,2,2,4,2,2,4,4,4,3,3,3.13,3,4,3,4,2,2,4,2,4,1,5,2,3,2,1,5,5,1,1,3,2.85,4,4,5,4,4,4.2,"no",3.2
"10",45,"Male","1","ma","full-time",87500,"","14",0,"Village","Qatar","Married","2",0,5,5,5,5,5,5,3,3,5,3,5,1,5,5,5,5,4,4,4,4,5,4.07,5,3,3,1,5,5,5,4,5,3,5,5,4,4,4,5,3,5,5,5,4.2,1,4,2,4,1,2.4,"yes",5
"11",32.5,"Male","1","dip","full-time",25000,"","6",0,"Rural/Country","Antigua","Divorced","2",0,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,4,4,2,4,2,4,2,2,3,3,4,4,4,2,2,4,2,4,3,2,2,2,2,2,2,"yes",3
"12",55,"Male","1","phd","full-time",35000,"","0",0,"Village","Vietnam","Married","0",2,3,3,4,2,2,2.8,4,3,2,4,4,4,4,2,4,4,1,2,4,4,4,3.33,3,4,2,2,4,2,3,3,4,2,2,4,4,4,4,4,4,4,4,4,3.35,4,4,4,4,4,4,"yes",2.8
"13",25,"Male","0","deg","full-time",15000,"","0",0,"Small Town","Lithuania","Single","0",0,5,5,5,4,4,4.6,1,1,4,1,2,5,5,4,4,5,4,3,1,1,5,3.07,4,3,4,4,1,4,3,5,2,1,2,4,3,2,4,5,5,4,5,4,3.45,5,5,4,5,5,4.8,"yes",4.6
"14",28,"Male","0","grade","full-time",150000,"","1",3,"Small Town","Saudi Arabia","Single","0",0,5,4,5,4,4,4.4,2,4,3,5,4,5,4,3,4,4,5,3,5,4,4,3.93,4,3,4,4,3,3,3,5,4,5,4,4,3,3,4,3,4,4,3,3,3.65,3,3,4,2,2,2.8,"yes",4.4
"15",55,"Male","1","ltuni","full-time",250000,"",NA,0,"Small Town","Saudi Arabia","Separated","1",1,2,2,1,1,1,1.4,2,2,3,2,1,2,2,3,2,2,4,3,3,2,2,2.33,2,2,3,3,2,3,2,3,2,1,5,2,2,2,3,2,2,3,2,3,2.45,2,1,3,2,1,1.8,"yes",1.4
"16",55,"Female","1","phd","full-time",10000,"",NA,0,"Small Town","Bulgaria","Widowed","1",0,4,4,3,3,3,3.4,2,1,1,3,2,3,2,4,1,4,4,2,3,2,2,2.4,4,3,1,4,3,2,4,3,4,3,3,4,2,2,3,3,3,3,4,1,2.95,1,3,2,3,2,2.2,"no",3.4
"17",28,"Female","0","ltuni","unemployed",10000,"","0",0,"Village","Bulgaria","Married","0",0,5,5,5,5,4,4.8,1,1,3,1,5,5,5,4,5,5,5,3,2,1,2,3.2,5,3,4,3,4,2,5,4,5,5,1,5,3,3,5,2,5,5,5,5,3.95,1,1,1,1,1,1,"yes",4.8
"18",55,"Female","0","phd","full-time",10000,"","5",0,"Small Town","Macedonia","Married","0",0,4,4,4,2,2,3.2,3,2,5,2,4,4,3,4,3,4,3,2,3,2,3,3.13,4,3,2,2,3,2,3,3,4,4,3,4,3,4,4,4,4,5,5,4,3.5,3,3,2,3,2,2.6,"no",3.2
"19",28,"Female","1","deg","full-time",NA,"","8",9,"Small Town","Sri Lanka","Married","0",1,5,4,5,4,4,4.4,2,2,2,3,4,5,3,4,4,5,4,5,4,4,5,3.73,1,3,4,5,1,4,4,3,5,4,5,4,3,4,5,5,4,5,4,4,3.85,5,4,3,4,2,3.6,"no",4.4
"20",45,"Male","1","ma","full-time",55000,"","1",0,"Village","Ecuador","Married","2",1,4,4,4,4,4,4,4,2,2,3,4,2,2,3,2,3,4,1,2,1,3,2.53,4,1,3,2,4,3,4,4,4,2,2,3,2,2,4,4,2,3,4,3,3,2,3,2,3,2,2.4,"yes",4
"21",45,"Male","1","deg","full-time",35000,"","5",0,"Village","Ecuador","Married","2",2,5,5,4,4,4,4.4,3,5,4,5,5,4,5,5,5,5,5,5,4,5,4,4.6,5,4,5,3,5,4,5,5,5,4,5,5,5,4,5,5,5,5,4,4,4.6,3,3,3,3,2,2.8,"yes",4.4
"22",37.5,"Male","1","dip","full-time",10000,"","3",0,"Village","Ecuador","Divorced","1",0,4,4,4,4,4,4,5,3,5,5,4,4,3,4,2,4,5,4,5,5,4,4.13,4,4,4,4,2,3,4,4,4,3,3,3,4,4,4,4,4,4,2,3,3.55,3,2,3,2,1,2.2,"no",4
"23",55,"Male","0","deg","full-time",87500,"","0",6,"Large Town","Afghanistan","Married","0",0,3,3,3,4,3,3.2,3,2,2,2,3,2,3,3,2,3,4,2,4,2,3,2.67,4,2,4,3,3,3,3,4,4,2,2,3,2,4,3,4,3,3,4,4,3.2,3,2,2,3,2,2.4,"no",3.2
"24",55,"Female","1","deg","full-time",10000,"","7",0,"Village","Afghanistan","Divorced","4",0,4,3,4,3,2,3.2,1,2,1,4,3,5,4,4,3,3,3,4,3,3,3,3.07,3,2,2,5,3,3,3,5,3,1,2,3,1,1,3,3,3,4,3,3,2.8,1,1,1,3,1,1.4,"yes",3.2
"25",80,"Female","0","grade","unemployed",10000,"","0",0,"Medium-Sized","Afghanistan","Single","0",0,2,3,2,3,5,3,2,2,3,4,2,2,2,1,1,3,5,4,3,3,4,2.73,4,4,1,4,4,4,4,3,2,2,3,3,2,3,2,4,4,4,3,4,3.2,2,4,3,3,2,2.8,"no",3
"26",55,"Male","1","ma","full-time",150000,"","0",0,"Large Town","Afghanistan","Married","4",2,4,4,4,3,3,3.6,3,4,5,4,3,4,3,5,4,3,5,5,1,5,4,3.87,4,4,5,3,1,3,4,4,4,4,4,4,3,4,4,4,4,4,3,4,3.7,3,3,2,2,2,2.4,"yes",3.6
"27",20,"Male","0","high","student",NA,"","0",0,"Village","Panama","Single","0",0,5,5,5,5,5,5,1,5,4,5,5,5,5,5,2,5,4,3,5,1,5,4,5,3,2,1,5,1,5,5,5,5,5,5,1,1,5,5,5,5,5,5,3.95,1,3,1,4,1,2,"no",5
"28",45,"Female","0","phd","full-time",87500,"","10",6,"Small Town","Guam","Divorced","0",0,4,4,4,4,4,4,1,1,1,2,3,4,2,5,3,4,2,2,2,2,2,2.4,4,2,2,5,1,2,5,3,4,2,2,5,1,2,4,4,1,2,4,3,2.9,2,3,2,4,2,2.6,"no",4
"29",37.5,"Male","1","ma","full-time",10000,"","0",0,"Small Town","Pakistan","Married","1",1,3,4,4,3,3,3.4,1,1,4,3,4,4,4,3,2,3,3,3,3,2,2,2.8,4,2,2,3,4,3,3,3,3,2,3,3,3,5,3,4,3,3,3,4,3.15,4,4,4,4,4,4,"yes",3.4
"30",16.5,"Male","0","lthigh","student",NA,"","10",0,"Small Town","Estonia","Single","0",0,5,5,4,4,4,4.4,3,4,5,4,4,4,5,4,4,5,3,4,3,4,3,3.93,5,3,3,4,3,2,5,4,4,3,5,5,3,3,4,4,3,4,5,4,3.8,1,3,3,2,1,2,"yes",4.4
"31",23,"Female","0","deg","full-time",35000,"","0",3,"Village","Kenya","Single","0",0,5,5,5,1,1,3.4,1,5,5,5,4,2,4,4,5,4,1,4,1,5,5,3.67,4,2,4,5,3,3,3,5,4,4,2,4,2,2,4,5,1,4,4,4,3.45,3,3,3,2,3,2.8,"yes",3.4
"32",32.5,"Female","0","ltuni","full-time",55000,"","6",9,"Village","Guyana","Single","0",0,2,2,3,1,1,1.8,1,3,3,3,1,3,2,2,1,1,3,3,3,3,2,2.27,2,3,3,3,3,4,3,3,3,2,4,3,3,3,3,1,3,3,3,3,2.9,4,4,4,3,3,3.6,"no",1.8
"33",23,"Male","0","ma","student",10000,"","0",9,"Village","Puerto Rico","Single","0",0,5,5,5,5,5,5,3,4,3,5,4,5,5,5,5,5,5,5,4,5,5,4.53,5,5,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4.95,1,1,1,1,1,1,"yes",5
"34",55,"Female","1","phd","full-time",67500,"",NA,0,"Small Town","Puerto Rico","Married","0",2,5,5,5,4,4,4.6,5,2,1,4,5,2,5,4,5,5,3,2,4,4,4,3.67,5,3,2,2,4,3,5,3,4,4,3,5,3,2,5,5,4,5,5,5,3.85,2,4,3,3,2,2.8,"yes",4.6
"35",32.5,"Female","1","phd","unemployed",NA,"","5",0,"Medium-Sized","Puerto Rico","Married","3",0,5,5,5,5,5,5,1,2,4,4,5,5,5,5,3,5,1,4,5,3,5,3.8,5,4,3,1,5,5,4,5,5,5,5,5,1,3,5,5,5,4,5,1,4.05,2,1,2,4,1,2,"yes",5
"36",37.5,"Male","1","deg","full-time",150000,NA,"2",0,"Medium-Sized","Bermuda","Married","1",2,3,3,3,3,3,3,2,2,3,3,3,3,3,3,2,3,2,3,3,3,3,2.73,3,2,2,3,2,2,2,2,3,2,3,3,3,2,3,3,2,3,3,3,2.55,3,4,3,4,3,3.4,"yes",3
"37",19,"Male","0","ltuni","full-time",150000,"","1",0,"Small Town","Bermuda","Single","0",0,4,1,1,1,1,1.6,1,1,1,1,1,2,3,2,5,3,2,1,3,1,3,2,4,1,4,4,1,3,3,1,4,5,3,1,4,4,3,5,3,2,2,4,3.05,5,2,1,1,1,2,"yes",1.6
"38",20,"Male","0","ltuni","student",10000,NA,"0",0,"Large-City","Croatia","Single","0",0,3,4,1,1,1,2,3,2,3,4,3,4,4,3,2,4,3,3,2,1,2,2.87,3,1,1,4,2,2,1,5,4,2,3,3,1,3,4,3,1,3,2,5,2.65,3,4,4,3,3,3.4,"no",2
"39",28,"Male","0","deg","full-time",15000,"","1",0,"Village","Croatia","Single","0",0,5,4,3,3,2,3.4,1,1,3,2,2,4,2,3,2,5,2,2,1,2,1,2.2,4,2,3,5,4,3,4,4,3,2,2,3,5,4,4,4,3,4,3,4,3.5,4,4,3,5,4,4,"no",3.4
"40",45,"Female","1","deg","part-time",NA,"","10",0,"Village","Croatia","Married","1",2,4,4,4,3,2,3.4,1,1,2,1,1,1,4,4,2,3,5,1,2,1,2,2.07,4,2,1,2,3,2,3,2,4,1,4,2,2,3,3,3,3,4,3,3,2.7,2,3,4,3,5,3.4,"yes",3.4
"41",37.5,"Female","0","deg","full-time",35000,"","2",10,"Village","Croatia","Married","0",0,2,2,2,2,2,2,1,2,1,4,2,2,4,5,2,4,2,3,2,3,4,2.73,4,2,2,4,4,2,4,2,4,2,4,4,2,2,4,4,2,4,2,2,3,4,4,5,5,5,4.6,"no",2
"42",28,"Male","0","ltuni","unemployed",NA,NA,"0",0,"Large-City","Taiwan","Single","0",0,5,5,5,5,5,5,5,5,5,3,5,5,5,5,1,5,5,5,5,5,5,4.6,5,5,5,5,5,5,3,5,5,5,5,5,3,5,5,5,5,5,5,5,4.8,1,1,1,1,3,1.4,"yes",5
"43",32.5,"Male","0","deg","full-time",87500,"financial analyst","0",6,"Large-City","Hungary","Single","0",0,3,3,2,2,2,2.4,2,3,3,3,2,2,2,3,2,2,3,3,2,4,2,2.53,3,2,2,3,2,1,2,3,2,2,4,3,1,2,3,3,1,3,1,3,2.3,3,4,3,3,2,3,"no",2.4
"44",55,"Female","0","ltuni","full-time",35000,"language trainer","14",0,"Large Town","Austria","Married","0",0,5,5,4,4,4,4.4,3,1,1,2,4,4,5,4,5,5,1,3,2,2,5,3.13,5,5,3,3,4,2,5,3,5,2,4,4,3,4,4,4,3,3,5,4,3.75,3,4,4,4,2,3.4,"yes",4.4
"45",32.5,"Male","0","deg","part-time",35000,"Editor","0",2,"Medium-Sized","Austria","Married","0",0,4,4,4,3,3,3.6,1,2,2,3,2,4,4,4,2,2,4,3,3,2,3,2.73,4,3,4,4,2,3,2,4,4,3,4,5,2,2,4,4,3,3,3,2,3.25,3,3,2,3,2,2.6,"yes",3.6
"46",37.5,"Female","0","ltuni","part-time",15000,"","10",0,"Village","Austria","Married","0",0,4,4,5,4,4,4.2,3,3,5,4,5,2,5,5,5,5,5,3,5,4,4,4.2,5,5,4,4,2,3,4,5,5,3,5,5,4,4,5,4,4,5,5,5,4.3,2,2,2,2,1,1.8,"yes",4.2
"47",80,"Female","1","phd","full-time",250000,"ouh","30",11,"Large-City","Brunei","Separated","10",10,5,5,5,5,5,5,1,1,1,5,5,5,5,1,5,5,1,1,1,5,5,3.13,5,5,1,1,5,1,5,1,5,5,1,5,1,1,1,5,5,1,5,1,3,5,5,5,5,5,5,"yes",5
"48",80,"Male","1","ltuni","retired",250000,"retired","14",7,"Medium-Sized","Kazakhstan","Married","0",7,5,1,5,4,4,3.8,1,1,1,1,2,3,1,2,2,1,1,1,2,3,3,1.67,5,3,2,1,4,1,5,4,3,1,5,2,2,4,2,4,3,4,4,3,3.1,3,4,3,5,2,3.4,"yes",3.8
"49",45,"Female","1","high","part-time",10000,"Software Sales","30",0,"Small Town","Malta","Married","2",1,4,1,1,1,1,1.6,1,3,2,4,2,1,5,1,1,2,1,5,1,4,4,2.47,2,1,1,1,4,2,1,1,3,3,5,5,1,1,1,2,4,1,1,3,2.15,4,3,3,4,1,3,"yes",1.6
"50",32.5,"Female","0","ma","full-time",67500,"","2",0,"Rural/Country","Malta","Single","0",0,3,3,2,2,2,2.4,3,3,4,4,4,4,2,3,2,4,4,3,3,3,2,3.2,4,1,1,4,4,1,2,2,2,3,3,3,3,1,3,3,4,3,3,3,2.65,1,3,3,2,1,2,"no",2.4
"51",45,"Female","0","deg","full-time",NA,"Civil servant","17",0,"Small City","Luxembourg","Separated","0",0,2,2,5,2,2,2.6,1,1,2,2,1,2,2,4,1,4,1,2,1,2,2,1.87,4,1,1,2,1,1,4,2,3,2,4,3,1,2,3,1,2,3,3,3,2.3,2,4,3,3,4,3.2,"yes",2.6
"52",16.5,"Male","0","ltuni","part-time",10000,NA,"17",0,"Medium-Sized","Lebanon","Single","0",0,3,5,4,4,4,4,1,1,3,2,4,5,5,5,4,5,1,3,4,3,5,3.4,3,5,2,2,5,4,4,1,2,1,4,5,1,4,4,4,5,2,5,2,3.25,2,1,2,1,1,1.4,"yes",4
"53",16.5,"Female","0","","student",NA,NA,"14",0,"Medium-Sized","Singapore","Single","0",0,5,5,5,3,3,4.2,2,1,1,4,2,3,5,4,2,5,5,1,4,2,1,2.8,5,2,4,2,3,3,3,4,5,5,1,5,3,3,4,5,3,5,5,5,3.75,3,2,2,2,2,2.2,"yes",4.2
"54",7.5,"Male","0","lthigh","student",10000,"","2",4,"Large Town","Singapore","Single","0",0,4,4,3,1,1,2.6,1,1,3,1,1,3,5,1,3,3,3,1,1,1,1,1.93,1,1,3,1,4,2,3,3,2,1,4,2,1,1,3,3,1,5,5,2,2.4,1,1,1,1,1,1,"no",2.6
"55",25,"Female","0","deg","full-time",15000,"","2",0,"Small Town","Singapore","Single","0",0,3,2,1,2,2,2,2,2,2,3,3,2,2,3,2,2,3,3,4,3,2,2.53,2,2,4,2,3,2,1,2,3,2,3,3,2,3,3,4,3,3,2,3,2.6,3,3,3,2,3,2.8,"no",2
"56",28,"Male","0","deg","full-time",25000,"","4",0,"Village","Singapore","Single","0",0,5,5,5,5,5,5,4,1,3,5,5,5,5,5,5,5,4,4,4,4,5,4.27,5,5,5,5,3,1,5,5,5,5,4,5,1,3,5,5,5,5,5,5,4.35,1,1,1,1,1,1,"no",5
"57",45,"Male","0","ma","full-time",150000,"","6",0,"Village","Singapore","Single","0",0,3,2,3,3,3,2.8,2,1,3,3,2,2,4,3,2,4,1,2,3,2,3,2.47,4,3,3,3,3,2,4,3,3,4,3,4,3,3,2,4,4,3,4,3,3.25,3,3,3,2,4,3,"no",2.8
"58",28,"Male","0","deg","full-time",25000,"","0",3,"Village","Singapore","Single","0",0,4,4,4,4,3,3.8,2,4,3,5,4,3,4,4,4,4,4,5,4,5,4,3.93,4,3,4,4,3,4,3,4,3,3,2,4,2,3,4,3,4,5,3,3,3.4,2,2,3,1,2,2,"yes",3.8
"59",37.5,"Male","1","ma","full-time",150000,"Economy","7",0,"Large-City","Venezuela","Divorced","1",1,2,2,2,2,2,2,4,4,4,2,2,2,2,4,2,2,4,4,4,2,2,2.93,2,2,4,4,2,4,2,4,2,2,4,2,4,4,4,2,2,4,2,4,3,2,2,2,2,2,2,"",2
"60",45,"Male","1","dip","full-time",35000,"sales manager","4",0,"Small City","Venezuela","Married","2",1,3,3,4,4,4,3.6,4,4,3,4,4,3,4,4,3,4,4,4,3,4,4,3.73,4,3,3,4,2,2,4,3,4,4,4,2,5,3,4,1,2,4,3,3,3.2,3,4,4,4,4,3.8,"yes",3.6
"61",28,"Female","0","ma","part-time",25000,NA,"0",0,"Large-City","Uruguay","Single","0",0,4,4,1,1,1,2.2,1,1,1,5,4,5,4,4,2,5,3,1,3,1,2,2.8,1,2,2,2,2,2,4,2,5,3,3,4,2,3,5,3,3,2,4,2,2.8,5,5,5,4,5,4.8,"no",2.2
"62",24,"Male","0","high","student",NA,"","0",0,"Village","Uruguay","Single","0",0,5,5,5,5,5,5,4,3,3,4,5,3,5,5,5,5,3,3,4,3,5,4,5,1,3,5,5,3,5,5,5,3,3,5,4,4,5,3,3,5,5,5,4.1,1,1,2,2,1,1.4,"yes",5
"63",32.5,"Male","0","dip","part-time",10000,"","0",3,"Small Town","Uruguay","Single","0",0,5,5,5,4,4,4.6,1,3,5,4,4,5,5,5,4,5,2,5,5,5,2,4,4,4,3,5,4,2,5,4,5,2,4,5,4,2,5,4,5,5,5,5,4.1,3,5,4,5,3,4,"yes",4.6
"64",32.5,"Female","0","deg","full-time",67500,"manager","3",0,"Large-City","Argentina","Single","0",0,2,1,2,2,2,1.8,1,1,1,1,5,4,1,2,2,2,3,1,2,1,1,1.87,3,2,1,4,3,2,2,2,3,5,4,1,1,1,2,2,2,2,3,2,2.35,3,4,3,4,4,3.6,"no",1.8
"65",67.5,"Male","1","","part-time",150000,"BUSINESS CONSULTA","12",0,"Small Town","Argentina","Married","3",0,3,3,3,3,3,3,1,2,4,4,3,2,3,3,3,3,1,3,2,3,3,2.67,3,3,3,1,2,1,2,2,3,4,2,3,2,4,3,5,3,2,2,2,2.6,3,3,4,4,3,3.4,"no",3
"66",45,"Male","1","deg","full-time",55000,"","7",0,"Village","Argentina","Married","1",2,4,4,4,3,2,3.4,1,1,3,4,3,5,5,3,4,3,2,3,3,3,2,3,4,3,1,3,2,2,2,3,4,2,2,4,3,3,4,3,2,4,4,4,2.95,4,4,3,4,3,3.6,"yes",3.4
"67",16.5,"Female","0","lthigh","student",10000,"","1",0,"Small Town","Argentina","Single","0",0,2,3,2,1,1,1.8,3,2,3,2,3,5,3,3,2,4,3,3,4,3,1,2.93,4,3,2,3,2,2,5,4,4,2,2,4,3,3,4,4,3,3,4,4,3.25,3,4,4,4,2,3.4,"no",1.8
"68",37.5,"Male","0","deg","full-time",67500,NA,"17",0,"Large-City","Egypt","Married","0",0,3,2,1,1,1,1.6,4,3,3,3,3,3,3,3,2,5,5,2,5,4,4,3.47,5,5,4,1,1,4,5,3,3,5,1,4,2,3,4,5,5,2,3,1,3.3,3,3,3,4,1,2.8,"yes",1.6
"69",22,"Female","0","deg","full-time",10000,"Copy Writer","0",3,"Large-City","Nicaragua","Single","0",0,4,4,4,3,3,3.6,3,3,4,4,3,2,4,3,3,3,3,5,4,5,4,3.53,4,2,3,5,4,3,3,4,4,4,2,4,3,3,3,4,4,3,3,2,3.35,4,4,4,3,4,3.8,"yes",3.6
"70",45,"Male","0","ma","full-time",67500,"Gender/Public Health Consultant","3",0,"Large-City","Myanmar","Married","0",0,3,1,1,1,1,1.4,2,2,5,4,3,5,5,5,4,5,5,2,3,1,2,3.53,5,3,5,1,4,2,5,3,5,1,4,5,4,5,5,5,2,5,3,5,3.85,5,5,3,3,1,3.4,"yes",1.4
"71",45,"Male","0","ltuni","full-time",150000,"chairman of the board","2",1,"Large Town","Peru","Married","0",0,4,4,4,3,3,3.6,2,2,4,3,4,5,5,4,4,4,3,2,3,2,4,3.4,4,3,4,2,4,3,4,3,4,4,4,4,3,4,4,5,5,4,4,3,3.75,3,3,2,3,2,2.6,"yes",3.6
"72",16.5,"Female","0","lthigh","student",10000,"","1",5,"Village","Peru","Single","0",0,4,4,4,4,5,4.2,1,4,4,5,2,2,5,4,2,5,5,4,5,5,3,3.73,5,1,2,4,5,2,5,4,5,4,2,5,2,3,5,5,3,5,5,5,3.85,1,3,3,1,4,2.4,"no",4.2
"73",45,"Female","0","deg","full-time",45000,"","0",0,"Village","Peru","Divorced","0",0,2,1,1,1,1,1.2,1,1,1,3,1,1,2,2,1,3,2,2,2,2,2,1.73,3,1,1,1,2,1,3,1,4,2,2,3,2,1,2,4,3,1,2,1,2,5,5,5,5,5,5,"no",1.2
"74",67.5,"Male","1","deg","part-time",87500,"Media Consultant","4",0,"Large-City","Albania","Divorced","0",2,4,3,2,2,1,2.4,4,1,5,1,2,1,1,3,2,3,3,1,3,1,5,2.4,4,1,2,2,3,2,2,2,4,1,2,4,4,4,4,4,4,3,4,4,3,3,4,3,5,4,3.8,"no",2.4
"75",45,"Female","0","ltuni","full-time",150000,"","0",0,"Large Town","Albania","Single","0",0,3,3,5,3,3,3.4,3,1,2,1,2,2,2,2,1,2,3,2,2,1,5,2.07,5,3,2,2,5,4,5,5,5,1,3,4,5,5,5,4,3,4,4,4,3.9,3,3,3,4,2,3,"no",3.4
"76",22,"Female","0","deg","full-time",15000,"Social Policy Analyst","1",3,"Large-City","Dominican Republic","Single","0",0,5,5,3,3,3,3.8,3,5,4,5,5,5,5,4,5,5,4,4,4,5,5,4.53,5,3,1,4,4,3,3,4,4,2,2,4,3,3,4,3,3,4,4,5,3.4,2,4,3,4,3,3.2,"yes",3.8
"77",80,"Male","0","ma","retired",45000,"retired","17",0,"Medium-Sized","Andorra","Single","0",0,2,1,1,2,1,1.4,1,1,3,2,1,1,1,1,3,1,2,2,1,1,1,1.47,3,3,1,1,1,1,2,1,3,1,5,3,2,2,1,4,4,1,1,1,2.05,4,4,4,4,4,4,"no",1.4
"78",55,"Male","1","ma","full-time",250000,"Finance","23",0,"Large-City","Andorra","Married","0",5,2,2,2,2,2,2,1,2,3,2,2,2,2,3,2,2,4,4,3,2,2,2.4,3,2,2,2,2,2,3,3,3,2,2,3,2,2,2,3,4,3,2,4,2.55,3,4,4,4,3,3.6,"no",2
"79",45,"Female","0","deg","full-time",55000,"Translator","14",0,"Medium-Sized","Slovenia","Single","0",0,5,5,5,5,5,5,4,2,3,4,4,4,4,4,4,4,4,4,4,4,4,3.8,4,4,4,2,4,2,3,5,4,4,4,4,3,3,5,3,4,4,5,4,3.75,3,3,4,4,3,3.4,"yes",5
"80",32.5,"Male","1","ma","full-time",45000,"manager","2",0,"Medium-Sized","Slovenia","Married","2",0,4,4,5,5,5,4.6,1,1,1,2,5,5,4,5,4,5,4,2,1,2,3,3,4,3,3,1,3,4,4,4,5,3,2,4,1,3,5,4,4,4,5,3,3.45,2,2,2,3,2,2.2,"yes",4.6
"81",21,"Male","0","ltuni","student",10000,NA,"2",7,"Medium-Sized","Slovenia","Single","0",0,5,5,4,4,4,4.4,4,5,5,4,3,5,4,5,4,5,4,4,4,4,4,4.27,5,4,4,5,5,3,4,4,4,4,1,4,4,4,5,5,4,5,3,4,4.05,4,4,4,4,4,4,"yes",4.4
"82",21,"Female","0","ltuni","student",NA,NA,"0",0,"Village","Slovenia","Single","0",0,1,3,1,1,1,1.4,1,1,1,2,1,1,2,3,1,3,1,1,3,1,1,1.53,5,1,1,3,2,2,4,2,1,2,5,3,1,3,4,2,2,4,5,5,2.85,4,4,5,5,5,4.6,"no",1.4
"83",21,"Female","0","ltuni","student",10000,NA,"0",0,"Small City","Slovenia","Single","0",0,4,5,3,3,3,3.6,1,1,1,1,2,1,3,5,1,5,5,1,3,1,5,2.4,5,4,2,5,1,1,5,2,5,1,5,5,3,3,4,4,2,5,5,5,3.6,2,4,1,1,1,1.8,"yes",3.6
"84",21,"Male","0","ltuni","student",10000,"","0",0,"Small Town","Slovenia","Single","0",0,5,5,5,5,5,5,4,1,3,4,4,5,5,4,3,5,3,1,5,1,4,3.47,5,3,5,4,5,4,5,4,5,2,2,5,5,4,5,4,5,5,5,4,4.3,1,1,2,2,1,1.4,"yes",5
"85",37.5,"Male","0","ma","full-time",67500,"Technical director","1",2,"Large-City","Russia","Married","0",0,4,4,4,3,4,3.8,2,3,4,3,3,4,2,3,2,3,3,2,2,4,5,3,2,1,2,2,3,1,2,3,4,4,2,4,4,2,4,4,1,3,1,2,2.55,2,3,3,2,1,2.2,"no",3.8
