"","�Age","Gender","HasKids","EduLvl","WorkStatus","AnnualIncome","Occupation","YrsJobHeld","MosJobHeld","CommunitySz","CntryOfRes","MaritalStat","NumSons","NumDaughters","DP1","DP2","DP3","DP4","DP5","DPMean","AIP1","AIP2","AIP3","AIP4","AIP5","AIP6","AIP7","AIP8","AIP9","AIP10","AIP11","AIP12","AIP13","AIP14","AIP15","AIPMean","GP1","GP2","GP3","GP4","GP5","GP6","GP7","GP8","GP9","GP10","GP11","GP12","GP13","GP14","GP15","GP16","GP17","GP18","GP19","GP20","GPMean","SWLS1","SWLS2","SWLS3","SWLS4","SWLS5","SWLSMean","OthersLabel","DPMean.1"
"366",19,"Female","0","ltuni","student",NA,"","0",0,"Village","Italy","Single","0",0,4,5,1,2,2,2.8,2,4,5,4,4,2,4,5,5,5,2,5,3,5,2,3.8,5,3,3,3,3,1,5,3,5,5,2,5,3,2,5,4,4,5,3,5,3.7,3,3,3,2,3,2.8,"yes",2.8
"367",80,"Female","1","deg","retired",15000,"","0",0,"Rural/Country","Italy","Widowed","4",1,3,2,1,1,1,1.6,1,1,4,1,1,1,1,3,1,1,1,2,3,1,1,1.53,2,1,3,1,4,1,1,1,2,1,2,2,1,1,3,1,1,1,1,2,1.6,5,5,5,5,4,4.8,"no",1.6
"368",16.5,"Female","0","lthigh","student",NA,"","0",0,"Large Town","Italy","Single","0",0,4,4,5,5,5,4.6,2,5,5,5,5,5,5,5,1,5,2,5,5,1,1,3.8,5,4,5,5,5,3,4,5,5,5,2,5,1,4,5,5,5,5,5,5,4.4,1,1,1,1,1,1,"yes",4.6
"369",55,"Male","1","phd","full-time",150000,"","0",0,"Small Town","Italy","Separated","2",0,3,3,1,2,2,2.2,1,1,5,3,3,4,1,3,1,3,1,2,1,2,4,2.33,4,2,2,4,1,1,4,2,4,2,2,5,1,1,3,5,2,4,3,4,2.8,3,5,4,4,2,3.6,"no",2.2
"370",22,"Male","0","dip","student",NA,"",NA,0,"Small Town","Italy","Single","0",0,4,4,4,4,4,4,4,4,4,4,4,4,5,4,5,5,3,5,4,5,5,4.33,5,1,1,5,5,2,4,4,4,5,5,4,3,2,5,5,4,5,5,5,3.95,2,4,1,2,2,2.2,"yes",4
"371",55,"Female","1","ma","full-time",25000,"",NA,0,"Village","Italy","Married","1",1,2,2,4,3,3,2.8,1,1,1,4,2,3,2,2,3,2,2,2,4,2,3,2.27,2,3,2,2,3,3,3,4,3,2,3,3,1,3,4,4,2,2,2,2,2.65,3,3,3,4,3,3.2,"no",2.8
"372",37.5,"Female","0","ma","",NA,"","6",0,"Rural/Country","Italy","Single","0",0,4,4,4,4,2,3.6,4,5,5,5,4,5,4,4,4,5,4,5,3,4,4,4.33,5,4,4,3,5,2,3,5,5,5,2,5,4,3,5,5,5,4,5,5,4.2,3,3,2,2,2,2.4,"no",3.6
"373",45,"Male","0","grade","unemployed",NA,NA,"0",0,"Medium-Sized","Hong Kong","Married","0",0,4,5,4,4,4,4.2,1,3,2,4,5,5,4,4,4,4,4,3,3,3,4,3.53,4,4,4,4,4,3,4,3,4,4,3,4,3,4,4,4,4,4,4,4,3.8,2,2,2,3,1,2,"yes",4.2
"374",37.5,"Female","0","ma","unemployed",10000,NA,"0",0,"Large-City","Hong Kong","Divorced","0",0,3,3,4,3,3,3.2,2,2,4,3,3,3,3,3,2,2,4,3,4,3,4,3,3,3,3,3,2,3,2,4,3,3,4,3,4,2,3,4,3,4,3,4,3.15,3,4,3,4,3,3.4,"yes",3.2
"375",23,"Female","0","deg","full-time",25000,NA,"1",4,"Large-City","Hong Kong","Single","0",0,5,4,3,4,2,3.6,5,5,5,5,5,1,5,5,1,1,5,5,5,5,5,4.2,5,5,4,4,2,3,5,4,5,5,1,5,5,5,5,5,5,5,5,4,4.35,3,4,4,4,5,4,"yes",3.6
